GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
0100000US,,United States,5414,Specialized design services,2016,32347,119728,1566249,7053842
0100000US,,United States,5415,Computer systems design and related services,2016,142078,1811108,42441123,173166164
0100000US,,United States,5416,"Management, scientific, and technical consulting services",2016,171051,1224943,23681164,101117905
0100000US,,United States,5417,Scientific research and development services,2016,19262,732560,23405116,85759615
0100000US,,United States,5418,"Advertising, public relations, and related services",2016,37875,472163,8445299,33805415
0100000US,,United States,5419,"Other professional, scientific, and technical services",2016,71559,636901,6990838,29774196
0100000US,,United States,5511,Management of companies and enterprises,2016,55384,3380437,105603817,367229376
0100000US,,United States,5611,Office administrative services,2016,31904,450462,7223869,29358812
0100000US,,United States,5612,Facilities support services,2016,6739,232169,2581173,10931511
0100000US,,United States,5613,Employment services,2016,52030,6438966,61595591,263654452
0100000US,,United States,5614,Business support services,2016,32543,792443,6825312,27242849
0100000US,,United States,5615,Travel arrangement and reservation services,2016,21402,222579,3688757,13807438
0100000US,,United States,5616,Investigation and security services,2016,25715,933073,6417850,27567417
0100000US,,United States,5617,Services to buildings and dwellings,2016,194614,1881593,10855115,53479589
0100000US,,United States,5619,Other support services,2016,19930,284750,2808339,12001192
0100000US,,United States,5621,Waste collection,2016,11436,206126,2632361,11745113
0100000US,,United States,5622,Waste treatment and disposal,2016,2615,53951,832390,3533112
0100000US,,United States,5629,Remediation and other waste management services,2016,10590,132397,1610386,7097060
0100000US,,United States,6111,Elementary and secondary schools,2016,22118,1021821,8908162,37214819
0100000US,,United States,6112,Junior colleges,2016,1013,74688,594607,2365679
0100000US,,United States,6113,"Colleges, universities, and professional schools",2016,4453,1876692,18298642,77352987
0100000US,,United States,6114,Business schools and computer and management training,2016,7783,63691,937463,3946250
0100000US,,United States,6115,Technical and trade schools,2016,8167,109366,1025405,4266884
0100000US,,United States,6116,Other schools and instruction,2016,50886,422708,1919832,8314714
